date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:10	11911/11911	---M-Z	200	added ('OK')	text/html	etag:%2246971-2e87-532294f5c7185%22	http://demo.yosoftware.com/html/berg/index.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/index.html	(from )
21:07:11	20/20	---M-Z	200	added ('OK')	text/plain	etag:%223a858-0-4f485a8d1ebc0%22	http://demo.yosoftware.com/robots.txt		(from )
21:07:11	176778/176778	---M-Z	200	added ('OK')	text/css	etag:%2246952-2b28a-500f964781000%22	http://demo.yosoftware.com/html/berg/css/custom.css	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/css/custom.css	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:12	2446/2446	---M--	200	added ('OK')	image/png	etag:%224e435-98e-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/logo1.png	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/logo1.png	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:12	15413/15413	---M-Z	200	added ('OK')	application/javascript	etag:%224695e-3c35-500e545f8d740%22	http://demo.yosoftware.com/html/berg/js/modernizr-2.6.2.min.js	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/js/modernizr-2.6.2.min.js	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:12	2334/2334	---M--	200	added ('OK')	image/png	etag:%224e432-91e-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/logo2.png	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/logo2.png	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:12	11858/11858	---M-Z	200	added ('OK')	text/html	etag:%2246953-2e52-500e545f8d740%22	http://demo.yosoftware.com/html/berg/index2.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/index2.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:12	11976/11976	---M-Z	200	added ('OK')	text/html	etag:%224697c-2ec8-500e545f8d740%22	http://demo.yosoftware.com/html/berg/index3.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/index3.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:13	11281/11281	---M-Z	200	added ('OK')	text/html	etag:%2246976-2c11-500e545f8d740%22	http://demo.yosoftware.com/html/berg/index4.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/index4.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:13	12053/12053	---M-Z	200	added ('OK')	text/html	etag:%2246954-2f15-500e545f8d740%22	http://demo.yosoftware.com/html/berg/index5.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/index5.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:13	13522/13522	---M-Z	200	added ('OK')	text/html	etag:%2246984-34d2-500e545f8d740%22	http://demo.yosoftware.com/html/berg/blog.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/blog.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:13	20499/20499	---M-Z	200	added ('OK')	text/html	etag:%224697d-5013-500e545f8d740%22	http://demo.yosoftware.com/html/berg/post.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/post.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:14	21094/21094	---M-Z	200	added ('OK')	text/html	etag:%224696d-5266-500e545f8d740%22	http://demo.yosoftware.com/html/berg/post2.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/post2.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:14	83614/83614	---M-Z	200	added ('OK')	application/javascript	etag:%224695b-1469e-500e545f8d740%22	http://demo.yosoftware.com/html/berg/js/jquery-2.1.0.min.js	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/js/jquery-2.1.0.min.js	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:14	11612/11612	---M-Z	200	added ('OK')	text/html	etag:%224697a-2d5c-500e545f8d740%22	http://demo.yosoftware.com/html/berg/restaurant.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/restaurant.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:14	38084/38084	---M-Z	200	added ('OK')	text/html	etag:%2246979-94c4-500e545f8d740%22	http://demo.yosoftware.com/html/berg/menu.html	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/menu.html	(from http://demo.yosoftware.com/html/berg/index.html)
21:07:19	38054/38054	---M--	200	added ('OK')	image/jpeg	etag:%2250469-94a6-500e545f8d740%22	http://demo.yosoftware.com/html/berg/img/demo/nav/starters.jpg	C:/My%20Web%20Sites/ducan2/demo.yosoftware.com/html/berg/img/demo/nav/starters.jpg	(from http://demo.yosoftware.com/html/berg/index.html)
